Election_ID,block_id,account_id,stake,event,Timestamp,remarks
1,,node_0466,63355,init,2026-07-26 00:33:44,CBP(backup) rank 1
1,,node_0039,62412,init,2026-07-26 00:33:44,CBP(backup) rank 2
1,,node_0397,61817,init,2026-07-26 00:33:44,CBP(backup) rank 3
1,,node_0468,59482,init,2026-07-26 00:33:44,CBP(backup) rank 4
1,,node_0304,58904,init,2026-07-26 00:33:44,CBP(backup) rank 5
1,,node_0370,58713,init,2026-07-26 00:33:44,CBP(backup) rank 6
1,,node_0052,56315,init,2026-07-26 00:33:44,CBP(backup) rank 7
1,,node_0452,56212,init,2026-07-26 00:33:44,CBP(backup) rank 8
1,,node_0289,55457,init,2026-07-26 00:33:44,CBP(backup) rank 9
1,,node_0083,53084,init,2026-07-26 00:33:44,CBP(backup) rank 10
1,,node_0192,52479,init,2026-07-26 00:33:44,CBP(backup) rank 11
1,,node_0333,49309,init,2026-07-26 00:33:44,CBP(backup) rank 12
1,,node_0285,47955,init,2026-07-26 00:33:44,CBP(backup) rank 13
1,,node_0400,47375,init,2026-07-26 00:33:44,CBP(backup) rank 14
1,,node_0360,47117,init,2026-07-26 00:33:44,CBP(backup) rank 15
1,,node_0442,46249,init,2026-07-26 00:33:44,CBP(backup) rank 16
1,,node_0403,45246,init,2026-07-26 00:33:44,CBP(backup) rank 17
1,,node_0312,44429,init,2026-07-26 00:33:44,CBP(backup) rank 18
1,,node_0463,44020,init,2026-07-26 00:33:44,CBP(backup) rank 19
1,,node_0031,43514,init,2026-07-26 00:33:44,CBP(backup) rank 20
1,block_0028,node_0466,5972,promoted-out,2026-07-26 00:33:44,promoted to replace node_0352
1,block_0028,node_0352,10103,enqueued,2026-07-26 00:33:44,appended to backups queue (no cooldown)
1,block_0064,node_0039,2997,promoted-out,2026-07-26 00:33:45,promoted to replace node_0484
1,block_0064,node_0484,9876,enqueued,2026-07-26 00:33:45,appended to backups queue (no cooldown)
2,,node_0404,74061,init,2026-07-26 00:33:45,CBP(backup) rank 1
2,,node_0226,72171,init,2026-07-26 00:33:45,CBP(backup) rank 2
2,,node_0269,71527,init,2026-07-26 00:33:45,CBP(backup) rank 3
2,,node_0067,71381,init,2026-07-26 00:33:45,CBP(backup) rank 4
2,,node_0480,65980,init,2026-07-26 00:33:45,CBP(backup) rank 5
2,,node_0461,65944,init,2026-07-26 00:33:45,CBP(backup) rank 6
2,,node_0084,65646,init,2026-07-26 00:33:45,CBP(backup) rank 7
2,,node_0160,65005,init,2026-07-26 00:33:45,CBP(backup) rank 8
2,,node_0290,64612,init,2026-07-26 00:33:45,CBP(backup) rank 9
2,,node_0435,62612,init,2026-07-26 00:33:45,CBP(backup) rank 10
2,,node_0401,60493,init,2026-07-26 00:33:45,CBP(backup) rank 11
2,,node_0041,60082,init,2026-07-26 00:33:45,CBP(backup) rank 12
2,,node_0015,57912,init,2026-07-26 00:33:45,CBP(backup) rank 13
2,,node_0481,57044,init,2026-07-26 00:33:45,CBP(backup) rank 14
2,,node_0305,53986,init,2026-07-26 00:33:45,CBP(backup) rank 15
2,,node_0354,51926,init,2026-07-26 00:33:45,CBP(backup) rank 16
2,,node_0114,43288,init,2026-07-26 00:33:45,CBP(backup) rank 17
2,,node_0239,42916,init,2026-07-26 00:33:45,CBP(backup) rank 18
2,,node_0285,42592,init,2026-07-26 00:33:45,CBP(backup) rank 19
2,,node_0336,42339,init,2026-07-26 00:33:45,CBP(backup) rank 20
2,block_0113,node_0404,54,promoted-out,2026-07-26 00:33:45,promoted to replace node_0333
2,block_0113,node_0333,7904,cooldown,2026-07-26 00:33:45,waits 5 rounds before rejoining backups
2,block_0141,node_0226,3350,promoted-out,2026-07-26 00:33:46,promoted to replace node_0386
2,block_0141,node_0386,8684,cooldown,2026-07-26 00:33:46,waits 5 rounds before rejoining backups
2,block_0144,node_0269,7392,promoted-out,2026-07-26 00:33:46,promoted to replace node_0347
2,block_0144,node_0347,5742,enqueued,2026-07-26 00:33:46,appended to backups queue (no cooldown)
2,block_0155,node_0067,11462,promoted-out,2026-07-26 00:33:46,promoted to replace node_0439
2,block_0155,node_0439,7675,cooldown,2026-07-26 00:33:46,waits 5 rounds before rejoining backups
2,block_0160,node_0333,7527,rejoin,2026-07-26 00:33:46,cooldown complete; back in backups queue
2,block_0179,node_0480,10673,promoted-out,2026-07-26 00:33:46,promoted to replace node_0363
2,block_0179,node_0363,3496,enqueued,2026-07-26 00:33:46,appended to backups queue (no cooldown)
2,block_0190,node_0386,8631,rejoin,2026-07-26 00:33:46,cooldown complete; back in backups queue
2,block_0200,node_0439,7237,rejoin,2026-07-26 00:33:46,cooldown complete; back in backups queue
3,,node_0238,71705,init,2026-07-26 00:33:46,CBP(backup) rank 1
3,,node_0461,68287,init,2026-07-26 00:33:46,CBP(backup) rank 2
3,,node_0034,67567,init,2026-07-26 00:33:46,CBP(backup) rank 3
3,,node_0280,66582,init,2026-07-26 00:33:46,CBP(backup) rank 4
3,,node_0172,65406,init,2026-07-26 00:33:46,CBP(backup) rank 5
3,,node_0152,63573,init,2026-07-26 00:33:46,CBP(backup) rank 6
3,,node_0287,62995,init,2026-07-26 00:33:46,CBP(backup) rank 7
3,,node_0207,61978,init,2026-07-26 00:33:46,CBP(backup) rank 8
3,,node_0460,61436,init,2026-07-26 00:33:46,CBP(backup) rank 9
3,,node_0368,61311,init,2026-07-26 00:33:46,CBP(backup) rank 10
3,,node_0353,59668,init,2026-07-26 00:33:46,CBP(backup) rank 11
3,,node_0358,59044,init,2026-07-26 00:33:46,CBP(backup) rank 12
3,,node_0462,58935,init,2026-07-26 00:33:46,CBP(backup) rank 13
3,,node_0277,57581,init,2026-07-26 00:33:46,CBP(backup) rank 14
3,,node_0032,56931,init,2026-07-26 00:33:46,CBP(backup) rank 15
3,,node_0201,55534,init,2026-07-26 00:33:46,CBP(backup) rank 16
