Election_ID,Block_id,node,type,slashing_pct,cooldown_rounds,promoted_backup
1,block_0028,node_0352,PDDPoS,0,0,node_0466
1,block_0064,node_0484,PDDPoS,0,0,node_0039
2,block_0113,node_0333,PDDPoS,10,5,node_0404
2,block_0141,node_0386,PDDPoS,10,5,node_0226
2,block_0144,node_0347,PDDPoS,0,0,node_0269
2,block_0155,node_0439,PDDPoS,10,5,node_0067
2,block_0179,node_0363,PDDPoS,0,0,node_0480
3,block_0202,node_0233,PDDPoS,10,5,node_0238
3,block_0216,node_0176,PDDPoS,10,5,node_0461
3,block_0255,node_0014,PDDPoS,0,0,node_0034
3,block_0259,node_0174,PDDPoS,10,5,node_0280
3,block_0285,node_0034,PDDPoS,10,5,node_0172
3,block_0297,node_0448,PDDPoS,0,0,node_0152
4,block_0311,node_0032,PDDPoS,10,5,node_0097
4,block_0326,node_0334,PDDPoS,0,0,node_0175
4,block_0339,node_0263,PDDPoS,10,5,node_0500
4,block_0375,node_0277,PDDPoS,10,5,node_0259
4,block_0394,node_0121,PDDPoS,0,0,node_0366
5,block_0412,node_0023,PDDPoS,10,5,node_0166
5,block_0425,node_0276,PDDPoS,0,0,node_0294
5,block_0430,node_0243,PDDPoS,0,0,node_0045
6,block_0514,node_0140,PDDPoS,0,0,node_0228
6,block_0535,node_0007,PDDPoS,0,0,node_0301
6,block_0546,node_0296,PDDPoS,10,5,node_0078
6,block_0553,node_0118,PDDPoS,0,0,node_0037
6,block_0554,node_0228,PDDPoS,10,5,node_0001
6,block_0565,node_0301,PDDPoS,0,0,node_0135
6,block_0573,node_0037,PDDPoS,10,5,node_0153
7,block_0656,node_0303,PDDPoS,0,0,node_0305
7,block_0678,node_0457,PDDPoS,0,0,node_0219
8,block_0701,node_0128,PDDPoS,10,5,node_0303
8,block_0703,node_0448,PDDPoS,10,5,node_0377
8,block_0722,node_0365,PDDPoS,10,5,node_0343
8,block_0723,node_0377,PDDPoS,10,5,node_0346
8,block_0742,node_0343,PDDPoS,0,0,node_0249
8,block_0765,node_0444,PDDPoS,10,5,node_0112
8,block_0785,node_0112,PDDPoS,0,0,node_0053
9,block_0811,node_0105,PDDPoS,10,5,node_0040
9,block_0822,node_0253,PDDPoS,10,5,node_0083
9,block_0827,node_0046,PDDPoS,0,0,node_0449
9,block_0833,node_0413,PDDPoS,0,0,node_0122
9,block_0835,node_0442,PDDPoS,10,5,node_0141
9,block_0867,node_0449,PDDPoS,0,0,node_0443
9,block_0881,node_0040,PDDPoS,10,5,node_0008
9,block_0897,node_0443,PDDPoS,10,5,node_0268
1,block_0028,node_0352,DPoS,0,0,node_0466
1,block_0064,node_0484,DPoS,0,0,node_0039
2,block_0113,node_0386,DPoS,10,5,node_0404
2,block_0141,node_0439,DPoS,10,5,node_0226
2,block_0144,node_0333,DPoS,0,0,node_0269
2,block_0155,node_0347,DPoS,10,5,node_0067
2,block_0179,node_0048,DPoS,0,0,node_0084
3,block_0202,node_0017,DPoS,10,5,node_0238
3,block_0216,node_0176,DPoS,10,5,node_0461
3,block_0255,node_0233,DPoS,0,0,node_0034
3,block_0259,node_0174,DPoS,10,5,node_0280
3,block_0285,node_0034,DPoS,10,5,node_0172
3,block_0297,node_0001,DPoS,0,0,node_0152
4,block_0311,node_0032,DPoS,10,5,node_0175
4,block_0326,node_0036,DPoS,0,0,node_0500
4,block_0339,node_0263,DPoS,10,5,node_0259
4,block_0375,node_0334,DPoS,10,5,node_0343
4,block_0394,node_0121,DPoS,0,0,node_0097
5,block_0412,node_0211,DPoS,10,5,node_0166
5,block_0425,node_0023,DPoS,0,0,node_0294
5,block_0430,node_0405,DPoS,0,0,node_0045
6,block_0514,node_0477,DPoS,0,0,node_0078
6,block_0535,node_0048,DPoS,0,0,node_0228
6,block_0546,node_0296,DPoS,10,5,node_0301
6,block_0553,node_0166,DPoS,0,0,node_0037
6,block_0554,node_0078,DPoS,10,5,node_0001
6,block_0565,node_0228,DPoS,0,0,node_0135
6,block_0573,node_0037,DPoS,10,5,node_0153
7,block_0656,node_0500,DPoS,0,0,node_0219
7,block_0678,node_0303,DPoS,0,0,node_0305
8,block_0701,node_0365,DPoS,10,5,node_0303
8,block_0703,node_0448,DPoS,10,5,node_0377
8,block_0722,node_0128,DPoS,10,5,node_0343
8,block_0723,node_0377,DPoS,10,5,node_0249
8,block_0742,node_0343,DPoS,0,0,node_0487
8,block_0765,node_0444,DPoS,10,5,node_0053
8,block_0785,node_0053,DPoS,0,0,node_0177
9,block_0811,node_0238,DPoS,10,5,node_0471
9,block_0822,node_0442,DPoS,10,5,node_0122
9,block_0827,node_0046,DPoS,0,0,node_0083
9,block_0833,node_0253,DPoS,0,0,node_0449
9,block_0835,node_0305,DPoS,10,5,node_0141
9,block_0867,node_0083,DPoS,0,0,node_0443
9,block_0881,node_0471,DPoS,10,5,node_0007
9,block_0897,node_0443,DPoS,10,5,node_0008
