account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,3333.49,voter,15,2630.49,0.0,0
node_0002,4062.0,3643.55,voter,0,447.55,0.0,0
node_0003,8985.0,14064.85,voter,0,3132.85,0.0,0
node_0004,570.0,6.59,voter,0,94.59,0.0,0
node_0005,3861.0,3766.0,voter,0,0.0,0.0,0
node_0006,9245.0,9117.31,voter,10,3142.31,0.0,0
node_0007,3661.0,4789.86,voter,4,1205.86,0.0,1
node_0008,156.0,1002.9,CBP,1,200.9,0.0,0
node_0009,6974.0,7281.33,voter,0,1619.33,0.0,0
node_0010,3577.0,5511.84,voter,10,1872.84,0.0,0
node_0011,1724.0,159.14,voter,0,32.14,0.0,0
node_0012,5931.0,6123.24,voter,0,1090.24,0.0,0
node_0013,761.0,1645.21,voter,0,21.21,0.0,0
node_0014,6251.0,7719.94,BP,5,1877.94,0.0,1
node_0015,5975.0,6399.5,voter,0,1343.5,0.0,0
node_0016,800.0,249.44,voter,0,163.44,0.0,0
node_0017,1357.0,1459.89,voter,10,1739.89,0.0,0
node_0018,6277.0,6124.07,voter,10,2515.07,0.0,0
node_0019,2714.0,1828.32,voter,0,147.32,0.0,0
node_0020,4424.0,7381.28,voter,0,1213.28,0.0,0
node_0021,2853.0,1541.28,voter,0,325.28,0.0,0
node_0022,2727.0,69.32,voter,0,97.32,0.0,0
node_0023,9175.0,10543.81,voter,2,3978.62,1034.81,1
node_0024,966.0,409.72,voter,0,66.72,0.0,0
node_0025,5218.0,4311.18,voter,0,556.18,0.0,0
node_0026,3506.0,2783.92,voter,0,206.92,0.0,0
node_0027,3533.0,2744.77,voter,0,1379.77,0.0,0
node_0028,7567.0,8647.17,voter,0,1880.17,0.0,0
node_0029,4090.0,3866.04,voter,0,455.04,0.0,0
node_0030,9627.0,15921.76,voter,10,4683.76,0.0,0
node_0031,5980.0,3552.8,voter,0,545.8,0.0,0
node_0032,8398.0,6449.1,voter,2,1104.41,806.31,1
node_0033,1846.0,1725.33,voter,0,250.33,0.0,0
node_0034,6966.0,8125.96,voter,3,2111.84,769.88,1
node_0035,6302.0,5523.38,voter,0,1525.38,0.0,0
node_0036,8719.0,14826.47,voter,11,6254.47,0.0,0
node_0037,1926.0,1620.09,voter,2,603.78,41.69,1
node_0038,5623.0,6317.88,voter,0,716.88,0.0,0
node_0039,2641.0,5476.79,voter,3,1196.79,0.0,0
node_0040,8251.0,8969.59,voter,7,2314.55,1014.95,1
node_0041,4939.0,1976.32,voter,0,181.32,0.0,0
node_0042,2554.0,247.93,voter,0,293.93,0.0,0
node_0043,8887.0,6601.31,voter,0,1010.31,0.0,0
node_0044,9863.0,10953.47,voter,0,2332.47,0.0,0
node_0045,1882.0,2143.91,voter,7,1288.91,0.0,0
node_0046,3973.0,3273.0,voter,2,587.0,0.0,1
node_0047,1453.0,474.02,voter,0,85.02,0.0,0
node_0048,8777.0,18507.59,voter,30,10118.59,0.0,0
node_0049,7837.0,9469.08,voter,0,505.08,0.0,0
node_0050,4392.0,9890.32,voter,10,3388.32,0.0,0
node_0051,3520.0,1757.72,voter,0,332.72,0.0,0
node_0052,5157.0,5975.51,voter,0,1276.51,0.0,0
node_0053,7227.0,8263.77,voter,1,2260.77,0.0,0
node_0054,2032.0,1271.15,voter,0,305.15,0.0,0
node_0055,5589.0,868.54,voter,0,200.54,0.0,0
node_0056,9691.0,11322.33,voter,0,1662.33,0.0,0
node_0057,1014.0,592.93,voter,0,272.93,0.0,0
node_0058,5463.0,4865.0,voter,0,474.0,0.0,0
node_0059,4612.0,4765.87,voter,0,392.87,0.0,0
node_0060,8884.0,9562.93,voter,0,694.93,0.0,0
node_0061,4031.0,3715.54,voter,0,582.54,0.0,0
node_0062,3169.0,2478.81,voter,0,595.81,0.0,0
node_0063,5854.0,6028.8,voter,10,2495.8,0.0,0
node_0064,937.0,399.9,voter,0,223.9,0.0,0
node_0065,1043.0,650.76,voter,0,131.76,0.0,0
node_0066,1840.0,46.11,voter,0,17.11,0.0,0
node_0067,8836.0,11924.8,voter,15,6318.8,0.0,0
node_0068,3056.0,1841.99,voter,0,186.99,0.0,0
node_0069,1285.0,928.7,voter,0,645.7,0.0,0
node_0070,878.0,1064.23,voter,0,249.23,0.0,0
node_0071,1578.0,333.61,voter,0,346.61,0.0,0
node_0072,2774.0,881.63,voter,0,349.63,0.0,0
node_0073,3552.0,4374.4,CBP,0,596.4,0.0,0
node_0074,2747.0,3080.72,BP,0,63.72,0.0,0
node_0075,4395.0,5014.11,voter,0,713.11,0.0,0
node_0076,4723.0,4166.21,voter,0,437.21,0.0,0
node_0077,2586.0,1573.47,voter,0,237.47,0.0,0
node_0078,1008.0,187.05,voter,6,843.05,0.0,0
node_0079,5188.0,2519.13,voter,0,236.13,0.0,0
node_0080,8288.0,9234.72,voter,0,1852.72,0.0,0
node_0081,981.0,284.6,voter,0,26.6,0.0,0
node_0082,3094.0,1307.17,voter,0,350.17,0.0,0
node_0083,3903.0,3677.42,voter,7,1438.42,0.0,0
node_0084,9535.0,8951.51,voter,0,2306.51,0.0,0
node_0085,6918.0,5299.97,CBP,0,1026.97,0.0,0
node_0086,4322.0,1937.36,voter,0,1069.36,0.0,0
node_0087,3960.0,3971.97,voter,0,322.97,0.0,0
node_0088,4965.0,5868.16,voter,0,1445.16,0.0,0
node_0089,202.0,197.88,CBP,0,94.88,0.0,0
node_0090,1250.0,723.43,voter,0,26.43,0.0,0
node_0091,2220.0,784.11,voter,0,475.11,0.0,0
node_0092,4052.0,2226.31,voter,0,454.31,0.0,0
node_0093,7229.0,10145.11,voter,0,3217.11,0.0,0
node_0094,8716.0,8470.9,voter,0,590.9,0.0,0
node_0095,1747.0,388.86,voter,0,191.86,0.0,0
node_0096,4383.0,2069.9,voter,0,282.9,0.0,0
node_0097,9114.0,8926.97,voter,8,2239.97,0.0,0
node_0098,9959.0,10727.85,CBP,0,2906.85,0.0,0
node_0099,3385.0,428.58,voter,0,169.58,0.0,0
node_0100,8330.0,7007.26,voter,0,1222.26,0.0,0
node_0101,1562.0,1591.56,voter,0,77.56,0.0,0
node_0102,772.0,397.85,voter,0,41.85,0.0,0
node_0103,4341.0,3409.58,voter,0,440.58,0.0,0
node_0104,9088.0,8096.53,voter,0,2824.53,0.0,0
node_0105,1882.0,3100.55,CBP,2,936.17,405.62,1
node_0106,8988.0,10777.2,voter,10,2249.2,0.0,0
node_0107,9593.0,12563.75,voter,0,4028.75,0.0,0
node_0108,2138.0,1624.76,voter,0,231.76,0.0,0
node_0109,703.0,563.89,voter,0,39.89,0.0,0
node_0110,4138.0,4597.02,voter,0,192.02,0.0,0
node_0111,9223.0,11974.0,voter,0,2908.0,0.0,0
node_0112,2582.0,1662.86,voter,1,763.86,0.0,1
node_0113,2712.0,2124.67,voter,0,83.67,0.0,0
node_0114,6805.0,8950.12,voter,10,2476.12,0.0,0
node_0115,6795.0,8074.26,voter,0,1379.26,0.0,0
node_0116,4421.0,4786.26,voter,10,2539.26,0.0,0
node_0117,6317.0,6315.01,voter,0,1543.01,0.0,0
node_0118,3694.0,5815.69,voter,5,1282.69,0.0,1
node_0119,5778.0,6830.64,voter,0,1209.64,0.0,0
node_0120,3702.0,58.56,voter,0,311.56,0.0,0
node_0121,6578.0,6809.64,voter,9,2343.64,0.0,1
node_0122,4623.0,3813.34,voter,6,948.34,0.0,0
node_0123,8835.0,8429.83,voter,0,2097.83,0.0,0
node_0124,1939.0,3164.42,voter,0,103.42,0.0,0
node_0125,2975.0,2217.18,voter,0,789.18,0.0,0
node_0126,676.0,548.68,voter,0,8.68,0.0,0
node_0127,5713.0,5703.6,voter,0,1066.6,0.0,0
node_0128,7199.0,7651.19,voter,1,1513.74,870.55,1
node_0129,6361.0,9157.37,voter,0,1537.37,0.0,0
node_0130,4223.0,2297.83,voter,0,219.83,0.0,0
node_0131,77.0,839.14,voter,0,109.14,0.0,0
node_0132,6017.0,4848.74,voter,0,918.74,0.0,0
node_0133,5193.0,6991.23,voter,10,2516.23,0.0,0
node_0134,4970.0,4321.15,voter,0,1134.15,0.0,0
node_0135,5394.0,6347.74,voter,3,1886.74,0.0,0
node_0136,9133.0,16055.21,voter,11,6572.21,0.0,0
node_0137,6261.0,6229.85,voter,0,705.85,0.0,0
node_0138,9374.0,12038.37,BP,1,2922.37,0.0,0
node_0139,5028.0,7554.96,voter,0,1601.96,0.0,0
node_0140,9552.0,8442.86,voter,1,3297.86,0.0,1
node_0141,7668.0,9333.27,voter,6,2159.27,0.0,0
node_0142,8425.0,7731.61,voter,0,1324.61,0.0,0
node_0143,1439.0,515.64,voter,0,153.64,0.0,0
node_0144,1580.0,671.66,voter,0,14.66,0.0,0
node_0145,5135.0,5423.58,voter,0,245.58,0.0,0
node_0146,2464.0,1915.62,voter,0,214.62,0.0,0
node_0147,7834.0,6194.94,voter,0,326.94,0.0,0
node_0148,7511.0,4922.21,voter,0,808.21,0.0,0
node_0149,6341.0,6904.07,voter,0,591.07,0.0,0
node_0150,2467.0,2898.2,voter,0,152.2,0.0,0
node_0151,1796.0,2065.83,voter,0,481.83,0.0,0
node_0152,2931.0,2389.12,voter,10,1775.12,0.0,0
