Election_ID,block_id,account_id,stake,event,Timestamp,remarks
1,,node_0326,49057,init,2026-07-26 00:34:19,BP rank 1; active_stake=49057
1,,node_0397,46898,init,2026-07-26 00:34:19,BP rank 2; active_stake=46898
1,,node_0463,46508,init,2026-07-26 00:34:19,BP rank 3; active_stake=46508
1,,node_0440,46351,init,2026-07-26 00:34:19,BP rank 4; active_stake=46351
1,,node_0097,46313,init,2026-07-26 00:34:19,BP rank 5; active_stake=46313
1,,node_0157,45317,init,2026-07-26 00:34:19,BP rank 6; active_stake=45317
1,,node_0003,43297,init,2026-07-26 00:34:19,BP rank 7; active_stake=43297
1,,node_0447,42299,init,2026-07-26 00:34:19,BP rank 8; active_stake=42299
1,,node_0192,42289,init,2026-07-26 00:34:19,BP rank 9; active_stake=42289
1,,node_0494,41934,init,2026-07-26 00:34:19,BP rank 10; active_stake=41934
1,,node_0353,41828,init,2026-07-26 00:34:19,BP rank 11; active_stake=41828
1,,node_0083,39562,init,2026-07-26 00:34:19,BP rank 12; active_stake=39562
1,,node_0390,37941,init,2026-07-26 00:34:19,BP rank 13; active_stake=37941
1,,node_0222,36381,init,2026-07-26 00:34:19,BP rank 14; active_stake=36381
1,,node_0352,36256,init,2026-07-26 00:34:19,BP rank 15; active_stake=36256
1,,node_0459,36005,init,2026-07-26 00:34:19,BP rank 16; active_stake=36005
1,,node_0425,34928,init,2026-07-26 00:34:19,BP rank 17; active_stake=34928
1,,node_0232,34896,init,2026-07-26 00:34:19,BP rank 18; active_stake=34896
1,,node_0442,34476,init,2026-07-26 00:34:19,BP rank 19; active_stake=34476
1,,node_0076,33819,init,2026-07-26 00:34:19,BP rank 20; active_stake=33819
1,block_0028,node_0447,9568,downgraded-out,2026-07-26 00:34:20,missed/invalid 9.3.2; slashed=0.0
1,block_0028,node_0374,7921,promoted-in,2026-07-26 00:34:20,replaces node_0447 at slot 7
1,block_0064,node_0440,9444,downgraded-out,2026-07-26 00:34:21,missed/invalid 9.3.2; slashed=0.0
1,block_0064,node_0173,6764,promoted-in,2026-07-26 00:34:21,replaces node_0440 at slot 3
1,block_0113,node_0390,5828,downgraded-out,2026-07-26 00:34:21,malicious 9.3.1; slashed=647.52
1,block_0113,node_0201,7824,promoted-in,2026-07-26 00:34:21,replaces node_0390 at slot 12
1,block_0141,node_0326,3719,downgraded-out,2026-07-26 00:34:22,malicious 9.3.1; slashed=413.19
1,block_0141,node_0049,8216,promoted-in,2026-07-26 00:34:22,replaces node_0326 at slot 0
1,block_0144,node_0173,7205,downgraded-out,2026-07-26 00:34:22,missed/invalid 9.3.2; slashed=0.0
1,block_0144,node_0451,213,promoted-in,2026-07-26 00:34:22,replaces node_0173 at slot 3
1,block_0155,node_0352,10884,downgraded-out,2026-07-26 00:34:22,malicious 9.3.1; slashed=1209.38
1,block_0155,node_0344,1423,promoted-in,2026-07-26 00:34:22,replaces node_0352 at slot 14
1,block_0179,node_0442,11191,downgraded-out,2026-07-26 00:34:22,missed/invalid 9.3.2; slashed=0.0
1,block_0179,node_0386,8453,promoted-in,2026-07-26 00:34:22,replaces node_0442 at slot 18
2,,node_0084,52087,init,2026-07-26 00:34:22,BP rank 1; active_stake=52087
2,,node_0415,49864,init,2026-07-26 00:34:22,BP rank 2; active_stake=49864
2,,node_0107,49106,init,2026-07-26 00:34:22,BP rank 3; active_stake=49106
2,,node_0262,49065,init,2026-07-26 00:34:22,BP rank 4; active_stake=49065
2,,node_0457,47602,init,2026-07-26 00:34:22,BP rank 5; active_stake=47602
2,,node_0365,46164,init,2026-07-26 00:34:22,BP rank 6; active_stake=46164
2,,node_0422,46056,init,2026-07-26 00:34:22,BP rank 7; active_stake=46056
2,,node_0080,46017,init,2026-07-26 00:34:22,BP rank 8; active_stake=46017
2,,node_0269,45708,init,2026-07-26 00:34:22,BP rank 9; active_stake=45708
2,,node_0489,45281,init,2026-07-26 00:34:22,BP rank 10; active_stake=45281
2,,node_0067,44986,init,2026-07-26 00:34:22,BP rank 11; active_stake=44986
2,,node_0116,44750,init,2026-07-26 00:34:22,BP rank 12; active_stake=44750
2,,node_0074,44422,init,2026-07-26 00:34:22,BP rank 13; active_stake=44422
2,,node_0046,44361,init,2026-07-26 00:34:22,BP rank 14; active_stake=44361
2,,node_0149,43764,init,2026-07-26 00:34:22,BP rank 15; active_stake=43764
2,,node_0201,43717,init,2026-07-26 00:34:22,BP rank 16; active_stake=43717
2,,node_0282,43384,init,2026-07-26 00:34:22,BP rank 17; active_stake=43384
2,,node_0138,43325,init,2026-07-26 00:34:22,BP rank 18; active_stake=43325
2,,node_0160,43288,init,2026-07-26 00:34:22,BP rank 19; active_stake=43288
2,,node_0290,43028,init,2026-07-26 00:34:22,BP rank 20; active_stake=43028
2,block_0202,node_0415,5039,downgraded-out,2026-07-26 00:34:22,malicious 9.3.1; slashed=559.88
2,block_0202,node_0043,9277,promoted-in,2026-07-26 00:34:22,replaces node_0415 at slot 1
2,block_0216,node_0201,7736,downgraded-out,2026-07-26 00:34:23,malicious 9.3.1; slashed=859.51
2,block_0216,node_0048,8131,promoted-in,2026-07-26 00:34:23,replaces node_0201 at slot 15
