Election_ID,Round,Block_id,scheduled_producer,actual_producer,n_tx,T_fees,subsidy,total_reward,self_keep,dist_to_voters,event,slashed,solidified,n_ignored
1,1,block_0001,node_0326,node_0326,419,419,128,547,143.74,403.26,normal,0.0,yes,0
1,1,block_0002,node_0397,node_0397,493,493,128,621,202.08,418.92,normal,0.0,yes,0
1,1,block_0003,node_0463,node_0463,477,477,128,605,171.85,433.15,normal,0.0,yes,0
1,1,block_0004,node_0440,node_0440,400,400,128,528,197.21,330.79,normal,0.0,yes,1
1,1,block_0005,node_0097,node_0097,648,648,128,776,279.56,496.44,normal,0.0,yes,2
1,1,block_0006,node_0157,node_0157,567,567,128,695,255.85,439.15,normal,0.0,yes,1
1,1,block_0007,node_0003,node_0003,573,573,128,701,274.84,426.16,normal,0.0,yes,2
1,1,block_0008,node_0447,node_0447,649,649,128,777,329.53,447.47,normal,0.0,yes,1
1,1,block_0009,node_0192,node_0192,649,649,128,777,319.9,457.1,normal,0.0,yes,1
1,1,block_0010,node_0494,node_0494,650,650,128,778,260.08,517.92,normal,0.0,yes,0
1,1,block_0011,node_0353,node_0353,533,533,128,661,232.87,428.13,normal,0.0,yes,1
1,1,block_0012,node_0083,node_0083,648,648,128,776,229.52,546.48,normal,0.0,yes,2
1,1,block_0013,node_0390,node_0390,649,649,128,777,240.46,536.54,normal,0.0,yes,1
1,1,block_0014,node_0222,node_0222,458,458,128,586,151.19,434.81,normal,0.0,yes,2
1,1,block_0015,node_0352,node_0352,649,649,128,777,352.58,424.42,normal,0.0,yes,1
1,1,block_0016,node_0459,node_0459,650,650,128,778,235.62,542.38,normal,0.0,yes,0
1,1,block_0017,node_0425,node_0425,649,649,128,777,250.5,526.5,normal,0.0,yes,1
1,1,block_0018,node_0232,node_0232,497,497,128,625,226.5,398.5,normal,0.0,yes,1
1,1,block_0019,node_0442,node_0442,650,650,128,778,296.69,481.31,normal,0.0,yes,0
1,1,block_0020,node_0076,node_0076,525,525,128,653,196.3,456.7,normal,0.0,yes,3
1,2,block_0021,node_0326,node_0326,649,649,128,777,204.19,572.81,normal,0.0,yes,1
1,2,block_0022,node_0397,node_0397,415,415,128,543,176.7,366.3,normal,0.0,yes,2
1,2,block_0023,node_0463,node_0463,556,556,128,684,194.29,489.71,normal,0.0,yes,0
1,2,block_0024,node_0440,node_0440,650,650,128,778,290.59,487.41,normal,0.0,yes,0
1,2,block_0025,node_0097,node_0097,509,509,128,637,229.48,407.52,normal,0.0,yes,0
1,2,block_0026,node_0157,node_0157,645,645,128,773,284.57,488.43,normal,0.0,yes,2
1,2,block_0027,node_0003,node_0003,643,643,128,771,302.29,468.71,normal,0.0,yes,0
1,2,block_0028,node_0447,node_0192,574,574,128,702,289.03,412.97,missed,0.0,yes,0
1,2,block_0029,node_0192,node_0192,650,650,128,778,320.32,457.68,normal,0.0,yes,0
1,2,block_0030,node_0494,node_0494,536,536,128,664,221.97,442.03,normal,0.0,yes,1
1,2,block_0031,node_0353,node_0353,535,535,128,663,233.58,429.42,normal,0.0,yes,0
1,2,block_0032,node_0083,node_0083,486,486,128,614,181.6,432.4,normal,0.0,yes,1
1,2,block_0033,node_0390,node_0390,649,649,128,777,240.46,536.54,normal,0.0,yes,1
1,2,block_0034,node_0222,node_0222,477,477,128,605,156.09,448.91,normal,0.0,yes,0
1,2,block_0035,node_0352,node_0352,439,439,128,567,257.29,309.71,normal,0.0,yes,0
1,2,block_0036,node_0459,node_0459,638,638,128,766,231.99,534.01,normal,0.0,yes,0
1,2,block_0037,node_0425,node_0425,485,485,128,613,197.62,415.38,normal,0.0,yes,1
1,2,block_0038,node_0232,node_0232,616,616,128,744,269.63,474.37,normal,0.0,yes,2
1,2,block_0039,node_0442,node_0442,629,629,128,757,288.69,468.31,normal,0.0,yes,1
1,2,block_0040,node_0076,node_0076,649,649,128,777,233.58,543.42,normal,0.0,yes,1
1,3,block_0041,node_0326,node_0326,646,646,128,774,203.4,570.6,normal,0.0,yes,0
1,3,block_0042,node_0397,node_0397,432,432,128,560,182.23,377.77,normal,0.0,yes,1
1,3,block_0043,node_0463,node_0463,406,406,128,534,151.68,382.32,normal,0.0,yes,0
1,3,block_0044,node_0440,node_0440,649,649,128,777,290.22,486.78,normal,0.0,yes,1
1,3,block_0045,node_0097,node_0097,650,650,128,778,280.28,497.72,normal,0.0,yes,0
1,3,block_0046,node_0157,node_0157,410,410,128,538,198.06,339.94,normal,0.0,yes,0
1,3,block_0047,node_0003,node_0003,582,582,128,710,278.37,431.63,normal,0.0,yes,1
1,3,block_0048,node_0374,node_0374,597,597,128,725,295.6,429.4,normal,0.0,yes,1
1,3,block_0049,node_0192,node_0192,550,550,128,678,279.14,398.86,normal,0.0,yes,0
1,3,block_0050,node_0494,node_0494,528,528,128,656,219.3,436.7,normal,0.0,yes,0
1,3,block_0051,node_0353,node_0353,650,650,128,778,274.09,503.91,normal,0.0,yes,0
1,3,block_0052,node_0083,node_0083,573,573,128,701,207.34,493.66,normal,0.0,yes,1
1,3,block_0053,node_0390,node_0390,534,534,128,662,204.87,457.13,normal,0.0,yes,0
1,3,block_0054,node_0222,node_0222,560,560,128,688,177.51,510.49,normal,0.0,yes,1
1,3,block_0055,node_0352,node_0352,558,558,128,686,311.28,374.72,normal,0.0,yes,1
1,3,block_0056,node_0459,node_0459,490,490,128,618,187.17,430.83,normal,0.0,yes,0
