Election_ID,Round,Block_id,scheduled_producer,actual_producer,n_tx,T_fees,subsidy,total_reward,self_keep,dist_to_voters,event,slashed,solidified,n_ignored
1,1,block_0001,node_0463,node_0463,419,419,128,547,144.28,402.72,normal,0.0,yes,0
1,1,block_0002,node_0494,node_0494,493,493,128,621,191.24,429.76,normal,0.0,yes,0
1,1,block_0003,node_0447,node_0447,477,477,128,605,212.69,392.31,normal,0.0,yes,0
1,1,block_0004,node_0397,node_0397,400,400,128,528,153.28,374.72,normal,0.0,yes,1
1,1,block_0005,node_0326,node_0326,648,648,128,776,203.54,572.46,normal,0.0,yes,2
1,1,block_0006,node_0192,node_0192,567,567,128,695,247.56,447.44,normal,0.0,yes,1
1,1,block_0007,node_0440,node_0440,573,573,128,701,249.19,451.81,normal,0.0,yes,2
1,1,block_0008,node_0097,node_0097,649,649,128,777,275.23,501.77,normal,0.0,yes,1
1,1,block_0009,node_0003,node_0003,649,649,128,777,274.3,502.7,normal,0.0,yes,1
1,1,block_0010,node_0353,node_0353,650,650,128,778,246.34,531.66,normal,0.0,yes,0
1,1,block_0011,node_0157,node_0157,533,533,128,661,237.52,423.48,normal,0.0,yes,1
1,1,block_0012,node_0083,node_0083,648,648,128,776,216.45,559.55,normal,0.0,yes,2
1,1,block_0013,node_0390,node_0390,649,649,128,777,240.1,536.9,normal,0.0,yes,1
1,1,block_0014,node_0222,node_0222,458,458,128,586,158.5,427.5,normal,0.0,yes,2
1,1,block_0015,node_0352,node_0352,649,649,128,777,321.22,455.78,normal,0.0,yes,1
1,1,block_0016,node_0459,node_0459,650,650,128,778,236.93,541.07,normal,0.0,yes,0
1,1,block_0017,node_0425,node_0425,649,649,128,777,247.57,529.43,normal,0.0,yes,1
1,1,block_0018,node_0232,node_0232,497,497,128,625,229.11,395.89,normal,0.0,yes,1
1,1,block_0019,node_0442,node_0442,650,650,128,778,295.19,482.81,normal,0.0,yes,0
1,1,block_0020,node_0076,node_0076,525,525,128,653,203.56,449.44,normal,0.0,yes,3
1,2,block_0021,node_0463,node_0463,649,649,128,777,204.94,572.06,normal,0.0,yes,1
1,2,block_0022,node_0494,node_0494,415,415,128,543,167.22,375.78,normal,0.0,yes,2
1,2,block_0023,node_0447,node_0447,556,556,128,684,240.47,443.53,normal,0.0,yes,0
1,2,block_0024,node_0397,node_0397,650,650,128,778,225.86,552.14,normal,0.0,yes,0
1,2,block_0025,node_0326,node_0326,509,509,128,637,167.08,469.92,normal,0.0,yes,0
1,2,block_0026,node_0192,node_0192,645,645,128,773,275.35,497.65,normal,0.0,yes,2
1,2,block_0027,node_0440,node_0440,643,643,128,771,274.07,496.93,normal,0.0,yes,0
1,2,block_0028,node_0097,node_0003,574,574,128,702,247.82,454.18,missed,0.0,yes,0
1,2,block_0029,node_0003,node_0003,650,650,128,778,274.65,503.35,normal,0.0,yes,0
1,2,block_0030,node_0353,node_0353,536,536,128,664,210.25,453.75,normal,0.0,yes,1
1,2,block_0031,node_0157,node_0157,535,535,128,663,238.24,424.76,normal,0.0,yes,0
1,2,block_0032,node_0083,node_0083,486,486,128,614,171.26,442.74,normal,0.0,yes,1
1,2,block_0033,node_0390,node_0390,649,649,128,777,240.1,536.9,normal,0.0,yes,1
1,2,block_0034,node_0222,node_0222,477,477,128,605,163.64,441.36,normal,0.0,yes,0
