account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,1905.71,voter,6,1233.71,0.0,0
node_0002,4062.0,4089.72,voter,0,939.72,0.0,0
node_0003,8985.0,14511.55,voter,10,3625.55,0.0,0
node_0004,570.0,1.0,voter,0,0.0,0.0,0
node_0005,3861.0,4784.1,voter,0,1018.1,0.0,0
node_0006,9245.0,6019.0,voter,0,0.0,0.0,0
node_0007,3661.0,4842.13,voter,5,1820.14,587.01,1
node_0008,156.0,849.06,voter,0,32.06,0.0,0
node_0009,6974.0,6862.98,CBP,0,1211.98,0.0,0
node_0010,3577.0,5215.42,voter,4,1591.42,0.0,0
node_0011,1724.0,158.88,CBP,0,266.88,0.0,0
node_0012,5931.0,6820.01,voter,0,1789.01,0.0,0
node_0013,761.0,1769.67,voter,0,148.67,0.0,0
node_0014,6251.0,6725.48,voter,0,883.48,0.0,0
node_0015,5975.0,5873.51,voter,0,817.51,0.0,0
node_0016,800.0,271.21,voter,0,143.21,0.0,0
node_0017,1357.0,1006.12,voter,0,258.12,0.0,0
node_0018,6277.0,4462.51,voter,0,886.51,0.0,0
node_0019,2714.0,1668.0,voter,0,0.0,0.0,0
node_0020,4424.0,8221.36,voter,7,2016.36,0.0,0
node_0021,2853.0,1521.98,voter,0,281.98,0.0,0
node_0022,2727.0,107.72,voter,0,70.72,0.0,0
node_0023,9175.0,9312.23,voter,0,1741.23,0.0,0
node_0024,966.0,408.22,voter,0,143.22,0.0,0
node_0025,5218.0,3717.0,voter,0,0.0,0.0,0
node_0026,3506.0,3104.25,voter,0,487.25,0.0,0
node_0027,3533.0,2056.28,voter,0,691.28,0.0,0
node_0028,7567.0,7733.34,BP,0,996.34,0.0,0
node_0029,4090.0,4097.0,voter,0,672.0,0.0,0
node_0030,9627.0,14078.48,CBP,0,2900.48,0.0,0
node_0031,5980.0,3421.83,voter,2,414.83,0.0,0
node_0032,8398.0,7166.36,CBP,0,1006.36,0.0,0
node_0033,1846.0,1693.0,voter,0,0.0,0.0,0
node_0034,6966.0,6805.0,voter,0,0.0,0.0,1
node_0035,6302.0,5639.58,voter,0,1601.58,0.0,0
node_0036,8719.0,10837.52,CBP,6,2237.52,0.0,1
node_0037,1926.0,1061.43,voter,0,267.43,0.0,0
node_0038,5623.0,6699.41,voter,0,1098.41,0.0,0
node_0039,2641.0,5595.74,voter,7,1796.2,431.46,1
node_0040,8251.0,9891.68,voter,0,2241.68,0.0,0
node_0041,4939.0,2019.83,voter,0,226.83,0.0,0
node_0042,2554.0,240.07,voter,0,256.07,0.0,0
node_0043,8887.0,5879.42,voter,0,320.42,0.0,0
node_0044,9863.0,11348.35,voter,0,2722.35,0.0,0
node_0045,1882.0,1626.09,voter,5,754.09,0.0,0
node_0046,3973.0,5356.16,voter,11,2670.16,0.0,0
node_0047,1453.0,468.4,voter,0,242.4,0.0,0
node_0048,8777.0,9905.03,CBP,0,1522.03,0.0,0
node_0049,7837.0,11464.92,voter,6,2558.92,0.0,0
node_0050,4392.0,6529.0,voter,0,0.0,0.0,0
node_0051,3520.0,1475.0,CBP,0,0.0,0.0,0
node_0052,5157.0,6798.75,voter,10,2145.75,0.0,0
node_0053,7227.0,6594.43,BP,0,541.43,0.0,0
node_0054,2032.0,1615.6,voter,0,649.6,0.0,0
node_0055,5589.0,1922.27,voter,0,1237.27,0.0,0
node_0056,9691.0,11615.66,voter,0,1959.66,0.0,0
node_0057,1014.0,441.51,CBP,0,121.51,0.0,0
node_0058,5463.0,5206.45,voter,0,785.45,0.0,0
node_0059,4612.0,5192.39,voter,0,852.39,0.0,0
