Block_id,type,account_id,Election_id,round_id,Total_rewards
block_0001,PDDPoS,node_0486,1,1,547
block_0002,PDDPoS,node_0303,1,1,621
block_0003,PDDPoS,node_0497,1,1,605
block_0004,PDDPoS,node_0494,1,1,528
block_0005,PDDPoS,node_0209,1,1,776
block_0006,PDDPoS,node_0442,1,1,695
block_0007,PDDPoS,node_0315,1,1,701
block_0008,PDDPoS,node_0403,1,1,777
block_0009,PDDPoS,node_0336,1,1,777
block_0010,PDDPoS,node_0383,1,1,778
block_0011,PDDPoS,node_0479,1,1,661
block_0012,PDDPoS,node_0450,1,1,776
block_0013,PDDPoS,node_0496,1,1,777
block_0014,PDDPoS,node_0194,1,1,586
block_0015,PDDPoS,node_0333,1,1,777
block_0016,PDDPoS,node_0201,1,1,778
block_0017,PDDPoS,node_0421,1,1,777
block_0018,PDDPoS,node_0425,1,1,625
block_0019,PDDPoS,node_0500,1,1,778
block_0020,PDDPoS,node_0475,1,1,653
block_0021,PDDPoS,node_0192,1,1,777
block_0022,PDDPoS,node_0103,1,1,544
block_0023,PDDPoS,node_0049,1,1,684
block_0024,PDDPoS,node_0077,1,1,778
block_0025,PDDPoS,node_0067,1,1,637
block_0026,PDDPoS,node_0039,1,1,773
block_0027,PDDPoS,node_0352,1,1,771
block_0028,PDDPoS,node_0463,1,1,702
block_0029,PDDPoS,node_0463,1,1,778
block_0030,PDDPoS,node_0003,1,1,664
block_0031,PDDPoS,node_0486,1,2,663
block_0032,PDDPoS,node_0303,1,2,614
block_0033,PDDPoS,node_0497,1,2,777
block_0034,PDDPoS,node_0494,1,2,605
block_0035,PDDPoS,node_0209,1,2,567
block_0036,PDDPoS,node_0442,1,2,766
block_0037,PDDPoS,node_0315,1,2,613
block_0038,PDDPoS,node_0403,1,2,744
block_0039,PDDPoS,node_0336,1,2,757
block_0040,PDDPoS,node_0383,1,2,777
block_0041,PDDPoS,node_0479,1,2,774
block_0042,PDDPoS,node_0450,1,2,560
block_0043,PDDPoS,node_0496,1,2,534
block_0044,PDDPoS,node_0194,1,2,777
block_0045,PDDPoS,node_0333,1,2,778
block_0046,PDDPoS,node_0201,1,2,538
block_0047,PDDPoS,node_0421,1,2,710
block_0048,PDDPoS,node_0425,1,2,725
block_0049,PDDPoS,node_0500,1,2,678
block_0050,PDDPoS,node_0475,1,2,656
block_0051,PDDPoS,node_0192,1,2,778
block_0052,PDDPoS,node_0103,1,2,701
block_0053,PDDPoS,node_0049,1,2,662
block_0054,PDDPoS,node_0077,1,2,688
block_0055,PDDPoS,node_0067,1,2,686
block_0056,PDDPoS,node_0039,1,2,618
block_0057,PDDPoS,node_0352,1,2,573
block_0058,PDDPoS,node_0459,1,2,739
block_0059,PDDPoS,node_0463,1,2,778
block_0060,PDDPoS,node_0003,1,2,607
block_0061,PDDPoS,node_0486,1,3,724
block_0062,PDDPoS,node_0303,1,3,567
block_0063,PDDPoS,node_0497,1,3,776
block_0064,PDDPoS,node_0209,1,3,777
block_0065,PDDPoS,node_0209,1,3,778
block_0066,PDDPoS,node_0442,1,3,778
block_0067,PDDPoS,node_0315,1,3,529
block_0068,PDDPoS,node_0403,1,3,567
block_0069,PDDPoS,node_0336,1,3,778
block_0070,PDDPoS,node_0383,1,3,777
block_0071,PDDPoS,node_0479,1,3,710
block_0072,PDDPoS,node_0450,1,3,717
block_0073,PDDPoS,node_0496,1,3,729
block_0074,PDDPoS,node_0194,1,3,569
