Reward_dist_id,Block_id,type,account_id,self.stake,pd_reward_stake,closing_stake,remarks
1,block_0001,PDDPoS,node_0447,9751.0,66.83,9817.83,voter pd share
2,block_0001,PDDPoS,node_0364,1136.0,15.05,1151.05,voter pd share
3,block_0001,PDDPoS,node_0171,8021.0,114.79,8135.79,voter pd share
4,block_0001,PDDPoS,node_0270,8975.0,152.12,9127.12,voter pd share
5,block_0001,PDDPoS,node_0486,7456.0,198.21,7654.21,self 20% + leftover
6,block_0002,PDDPoS,node_0409,2724.0,28.46,2752.46,voter pd share
7,block_0002,PDDPoS,node_0166,6843.0,78.16,6921.16,voter pd share
8,block_0002,PDDPoS,node_0291,3998.0,58.5,4056.5,voter pd share
9,block_0002,PDDPoS,node_0125,2939.0,46.44,2985.44,voter pd share
10,block_0002,PDDPoS,node_0196,9813.0,159.89,9972.89,voter pd share
11,block_0002,PDDPoS,node_0303,8839.0,249.55,9088.55,self 20% + leftover
12,block_0003,PDDPoS,node_0444,8443.0,78.43,8521.43,voter pd share
13,block_0003,PDDPoS,node_0260,7750.0,106.43,7856.43,voter pd share
14,block_0003,PDDPoS,node_0211,9243.0,142.27,9385.27,voter pd share
15,block_0003,PDDPoS,node_0401,7048.0,121.9,7169.9,voter pd share
16,block_0003,PDDPoS,node_0497,2484.0,155.98,2639.98,self 20% + leftover
17,block_0004,PDDPoS,node_0410,9392.0,88.28,9480.28,voter pd share
18,block_0004,PDDPoS,node_0169,5731.0,67.46,5798.46,voter pd share
19,block_0004,PDDPoS,node_0233,4189.0,64.77,4253.77,voter pd share
20,block_0004,PDDPoS,node_0232,7157.0,113.26,7270.26,voter pd share
21,block_0004,PDDPoS,node_0494,7757.0,194.23,7951.23,self 20% + leftover
22,block_0005,PDDPoS,node_0428,7586.0,118.25,7704.25,voter pd share
23,block_0005,PDDPoS,node_0085,6809.0,115.37,6924.37,voter pd share
24,block_0005,PDDPoS,node_0230,8203.0,139.37,8342.37,voter pd share
25,block_0005,PDDPoS,node_0334,8707.0,165.0,8872.0,voter pd share
26,block_0005,PDDPoS,node_0209,2993.0,238.01,3231.01,self 20% + leftover
27,block_0006,PDDPoS,node_0404,212.0,1.27,213.27,voter pd share
28,block_0006,PDDPoS,node_0100,8383.0,92.33,8475.33,voter pd share
29,block_0006,PDDPoS,node_0432,5672.0,72.27,5744.27,voter pd share
30,block_0006,PDDPoS,node_0263,5786.0,121.85,5907.85,voter pd share
31,block_0006,PDDPoS,node_0339,6556.0,142.24,6698.24,voter pd share
32,block_0006,PDDPoS,node_0442,7682.0,265.04,7947.04,self 20% + leftover
33,block_0007,PDDPoS,node_0327,3661.0,43.22,3704.22,voter pd share
34,block_0007,PDDPoS,node_0244,2744.0,31.71,2775.71,voter pd share
35,block_0007,PDDPoS,node_0238,9218.0,134.11,9352.11,voter pd share
36,block_0007,PDDPoS,node_0436,4020.0,57.2,4077.2,voter pd share
37,block_0007,PDDPoS,node_0009,6889.0,136.62,7025.62,voter pd share
