Election_ID,account_id,candidate_account_id,Profit_demand,Stakes,Status,Remarks
1,node_0001,node_0046,0.86,1874,active,voter (Total-weighted random choice)
1,node_0002,node_0484,1.15,4062,active,voter (Total-weighted random choice)
1,node_0003,node_0003,1.00,8985,active,self-vote (candidate self-stake)
1,node_0004,node_0478,1.09,570,active,voter (Total-weighted random choice)
1,node_0005,node_0201,1.25,3861,active,voter (Total-weighted random choice)
1,node_0006,node_0205,1.12,9245,active,voter (Total-weighted random choice)
1,node_0007,node_0383,0.65,3661,active,voter (Total-weighted random choice)
1,node_0008,node_0461,0.59,156,active,voter (Total-weighted random choice)
1,node_0009,node_0315,0.94,6974,active,voter (Total-weighted random choice)
1,node_0010,node_0010,1.00,3577,active,self-vote (candidate self-stake)
1,node_0011,node_0479,0.85,1724,active,voter (Total-weighted random choice)
1,node_0012,node_0010,1.42,5931,active,voter (Total-weighted random choice)
1,node_0013,node_0457,0.75,761,active,voter (Total-weighted random choice)
1,node_0014,node_0425,0.96,6251,active,voter (Total-weighted random choice)
1,node_0015,node_0383,1.12,5975,active,voter (Total-weighted random choice)
1,node_0016,node_0016,1.00,800,active,self-vote (candidate self-stake)
1,node_0017,node_0192,1.29,1357,rejected,voter (Total-weighted random choice)
1,node_0018,node_0190,0.66,6277,active,voter (Total-weighted random choice)
1,node_0019,node_0019,1.00,2714,active,self-vote (candidate self-stake)
1,node_0020,node_0020,1.00,4424,active,self-vote (candidate self-stake)
1,node_0021,node_0451,1.44,2853,active,voter (Total-weighted random choice)
1,node_0022,node_0022,1.00,2727,active,self-vote (candidate self-stake)
1,node_0023,node_0336,1.30,9175,rejected,voter (Total-weighted random choice)
1,node_0024,node_0479,0.81,966,active,voter (Total-weighted random choice)
1,node_0025,node_0297,0.52,5218,active,voter (Total-weighted random choice)
1,node_0026,node_0026,1.00,3506,active,self-vote (candidate self-stake)
1,node_0027,node_0258,1.32,3533,active,voter (Total-weighted random choice)
1,node_0028,node_0303,1.23,7567,rejected,voter (Total-weighted random choice)
1,node_0029,node_0468,1.44,4090,active,voter (Total-weighted random choice)
1,node_0030,node_0086,1.42,9627,rejected,voter (Total-weighted random choice)
1,node_0031,node_0031,1.00,5980,active,self-vote (candidate self-stake)
1,node_0032,node_0020,1.03,8398,active,voter (Total-weighted random choice)
1,node_0033,node_0468,1.00,1846,active,voter (Total-weighted random choice)
1,node_0034,node_0496,0.77,6966,active,voter (Total-weighted random choice)
1,node_0035,node_0103,1.30,6302,rejected,voter (Total-weighted random choice)
1,node_0036,node_0077,1.26,8719,active,voter (Total-weighted random choice)
1,node_0037,node_0194,1.39,1926,rejected,voter (Total-weighted random choice)
1,node_0038,node_0315,0.95,5623,rejected,voter (Total-weighted random choice)
1,node_0039,node_0039,1.00,2641,active,self-vote (candidate self-stake)
1,node_0040,node_0077,1.33,8251,active,voter (Total-weighted random choice)
1,node_0041,node_0258,0.88,4939,active,voter (Total-weighted random choice)
1,node_0042,node_0397,0.69,2554,active,voter (Total-weighted random choice)
1,node_0043,node_0403,0.70,8887,active,voter (Total-weighted random choice)
1,node_0044,node_0003,0.56,9863,active,voter (Total-weighted random choice)
1,node_0045,node_0478,0.70,1882,active,voter (Total-weighted random choice)
1,node_0046,node_0046,1.00,3973,active,self-vote (candidate self-stake)
1,node_0047,node_0047,1.00,1453,active,self-vote (candidate self-stake)
1,node_0048,node_0026,0.54,8777,active,voter (Total-weighted random choice)
1,node_0049,node_0049,1.00,7837,active,self-vote (candidate self-stake)
1,node_0050,node_0294,1.39,4392,active,voter (Total-weighted random choice)
1,node_0051,node_0258,0.58,3520,active,voter (Total-weighted random choice)
1,node_0052,node_0052,1.00,5157,active,self-vote (candidate self-stake)
1,node_0053,node_0403,1.24,7227,rejected,voter (Total-weighted random choice)
1,node_0054,node_0459,1.09,2032,active,voter (Total-weighted random choice)
1,node_0055,node_0500,1.37,5589,rejected,voter (Total-weighted random choice)
1,node_0056,node_0003,0.51,9691,active,voter (Total-weighted random choice)
1,node_0057,node_0020,0.92,1014,active,voter (Total-weighted random choice)
1,node_0058,node_0400,1.35,5463,active,voter (Total-weighted random choice)
1,node_0059,node_0059,1.00,4612,active,self-vote (candidate self-stake)
1,node_0060,node_0496,1.14,8884,active,voter (Total-weighted random choice)
1,node_0061,node_0192,0.63,4031,active,voter (Total-weighted random choice)
1,node_0062,node_0383,1.41,3169,rejected,voter (Total-weighted random choice)
1,node_0063,node_0285,0.58,5854,active,voter (Total-weighted random choice)
1,node_0064,node_0363,1.38,937,active,voter (Total-weighted random choice)
1,node_0065,node_0457,0.93,1043,active,voter (Total-weighted random choice)
1,node_0066,node_0067,0.64,1840,active,voter (Total-weighted random choice)
1,node_0067,node_0067,1.00,8836,active,self-vote (candidate self-stake)
1,node_0068,node_0403,1.06,3056,active,voter (Total-weighted random choice)
1,node_0069,node_0102,1.34,1285,active,voter (Total-weighted random choice)
1,node_0070,node_0258,1.39,878,active,voter (Total-weighted random choice)
1,node_0071,node_0071,1.00,1578,active,self-vote (candidate self-stake)
1,node_0072,node_0181,0.86,2774,active,voter (Total-weighted random choice)
1,node_0073,node_0086,1.45,3552,rejected,voter (Total-weighted random choice)
1,node_0074,node_0067,1.24,2747,rejected,voter (Total-weighted random choice)
1,node_0075,node_0209,1.23,4395,rejected,voter (Total-weighted random choice)
1,node_0076,node_0463,1.03,4723,rejected,voter (Total-weighted random choice)
1,node_0077,node_0077,1.00,2586,active,self-vote (candidate self-stake)
1,node_0078,node_0102,1.11,1008,active,voter (Total-weighted random choice)
1,node_0079,node_0194,1.37,5188,active,voter (Total-weighted random choice)
1,node_0080,node_0496,0.81,8288,active,voter (Total-weighted random choice)
1,node_0081,node_0181,1.36,981,active,voter (Total-weighted random choice)
1,node_0082,node_0478,0.60,3094,active,voter (Total-weighted random choice)
1,node_0083,node_0083,1.00,3903,active,self-vote (candidate self-stake)
1,node_0084,node_0468,0.90,9535,active,voter (Total-weighted random choice)
1,node_0085,node_0209,0.61,6918,active,voter (Total-weighted random choice)
1,node_0086,node_0086,1.00,4322,active,self-vote (candidate self-stake)
