Downgrade_id,Block_id,slashing,cooldown
1,block_0028,0,0
2,block_0064,0,0
3,block_0113,10,5
4,block_0141,10,5
5,block_0144,0,0
6,block_0155,10,5
7,block_0179,0,0
8,block_0202,10,5
9,block_0216,10,5
10,block_0255,0,0
11,block_0259,10,5
12,block_0285,10,5
13,block_0297,0,0
14,block_0311,10,5
15,block_0326,0,0
16,block_0339,10,5
17,block_0375,10,5
18,block_0394,0,0
19,block_0412,10,5
20,block_0425,0,0
21,block_0430,0,0
22,block_0514,0,0
23,block_0535,0,0
24,block_0546,10,5
25,block_0553,0,0
26,block_0554,10,5
27,block_0565,0,0
28,block_0573,10,5
29,block_0656,0,0
30,block_0678,0,0
31,block_0701,10,5
32,block_0703,10,5
33,block_0722,10,5
34,block_0723,10,5
35,block_0742,0,0
36,block_0765,10,5
37,block_0785,0,0
38,block_0811,10,5
39,block_0822,10,5
40,block_0827,0,0
41,block_0833,0,0
42,block_0835,10,5
43,block_0867,0,0
44,block_0881,10,5
45,block_0897,10,5
