account_id,stake,processing,k_shell
node_0001,1874,0.03,3
node_0002,4062,0.22,1
node_0003,8985,0.09,4
node_0004,570,0.03,2
node_0005,3861,0.51,1
node_0006,9245,0.20,4
node_0007,3661,0.45,3
node_0008,156,0.76,2
node_0009,6974,0.34,2
node_0010,3577,0.96,3
node_0011,1724,0.09,1
node_0012,5931,0.85,3
node_0013,761,0.73,1
node_0014,6251,0.08,3
node_0015,5975,0.58,1
node_0016,800,0.66,3
node_0017,1357,0.86,1
node_0018,6277,0.28,3
node_0019,2714,0.37,2
node_0020,4424,0.70,1
node_0021,2853,0.53,2
node_0022,2727,0.46,3
node_0023,9175,0.22,3
node_0024,966,0.23,1
node_0025,5218,0.40,1
node_0026,3506,0.91,3
node_0027,3533,0.66,4
node_0028,7567,0.14,2
node_0029,4090,0.74,3
node_0030,9627,0.43,4
node_0031,5980,0.22,2
node_0032,8398,0.49,1
node_0033,1846,0.15,2
node_0034,6966,0.60,4
node_0035,6302,0.60,4
node_0036,8719,0.25,1
node_0037,1926,0.68,3
node_0038,5623,0.11,4
node_0039,2641,0.45,3
node_0040,8251,0.76,1
node_0041,4939,0.84,2
node_0042,2554,0.37,2
node_0043,8887,0.95,1
node_0044,9863,0.32,1
node_0045,1882,0.93,3
node_0046,3973,0.06,1
node_0047,1453,0.73,1
node_0048,8777,0.77,2
node_0049,7837,0.95,2
node_0050,4392,0.53,4
node_0051,3520,0.93,2
node_0052,5157,0.40,3
node_0053,7227,0.90,4
node_0054,2032,0.25,1
node_0055,5589,0.02,2
node_0056,9691,0.22,1
node_0057,1014,0.23,1
node_0058,5463,0.07,2
node_0059,4612,0.67,2
node_0060,8884,0.13,4
node_0061,4031,0.78,4
node_0062,3169,0.09,4
node_0063,5854,0.42,4
node_0064,937,0.67,1
node_0065,1043,0.40,3
node_0066,1840,0.25,2
node_0067,8836,0.45,4
node_0068,3056,0.28,2
node_0069,1285,0.44,1
node_0070,878,0.65,1
node_0071,1578,0.93,2
node_0072,2774,0.41,4
node_0073,3552,0.86,1
node_0074,2747,0.38,4
node_0075,4395,0.93,4
node_0076,4723,0.42,4
node_0077,2586,0.19,2
node_0078,1008,0.58,1
node_0079,5188,0.06,4
node_0080,8288,0.92,2
node_0081,981,0.96,1
node_0082,3094,0.07,1
node_0083,3903,0.40,2
node_0084,9535,0.59,1
node_0085,6918,0.66,3
node_0086,4322,0.20,3
node_0087,3960,0.27,2
node_0088,4965,0.46,1
node_0089,202,0.46,1
node_0090,1250,0.54,3
node_0091,2220,0.93,1
node_0092,4052,0.37,2
node_0093,7229,0.83,3
node_0094,8716,0.01,3
node_0095,1747,0.94,2
node_0096,4383,0.12,1
node_0097,9114,0.16,3
node_0098,9959,0.21,3
node_0099,3385,0.69,3
node_0100,8330,0.49,1
node_0101,1562,0.63,3
node_0102,772,0.00,2
node_0103,4341,0.16,4
node_0104,9088,0.71,1
node_0105,1882,0.08,2
node_0106,8988,0.04,3
node_0107,9593,0.55,4
node_0108,2138,0.04,3
node_0109,703,0.90,2
node_0110,4138,0.67,3
node_0111,9223,0.88,4
node_0112,2582,0.93,2
node_0113,2712,0.98,2
node_0114,6805,0.02,3
node_0115,6795,0.80,2
node_0116,4421,0.16,1
node_0117,6317,0.87,4
node_0118,3694,0.20,4
node_0119,5778,0.31,2
node_0120,3702,0.02,2
node_0121,6578,0.33,1
node_0122,4623,0.35,4
node_0123,8835,0.33,1
node_0124,1939,0.88,3
node_0125,2975,0.58,3
node_0126,676,0.11,4
node_0127,5713,0.73,3
node_0128,7199,0.61,1
node_0129,6361,0.90,2
node_0130,4223,0.04,4
node_0131,77,0.52,2
node_0132,6017,0.43,3
node_0133,5193,0.66,1
node_0134,4970,0.51,4
node_0135,5394,0.40,3
node_0136,9133,0.13,4
node_0137,6261,0.68,2
node_0138,9374,0.30,1
node_0139,5028,0.29,4
node_0140,9552,0.61,3
node_0141,7668,0.44,2
node_0142,8425,0.47,2
node_0143,1439,0.28,3
node_0144,1580,0.82,2
node_0145,5135,0.22,2
node_0146,2464,0.02,2
node_0147,7834,0.61,1
node_0148,7511,0.41,2
node_0149,6341,0.49,2
node_0150,2467,0.66,1
node_0151,1796,0.78,2
node_0152,2931,0.80,4
node_0153,872,0.56,1
node_0154,7528,0.13,4
node_0155,8752,0.99,3
node_0156,7301,0.61,4
node_0157,9026,0.45,2
node_0158,7827,0.45,2
node_0159,4593,0.77,4
node_0160,3969,0.27,1
node_0161,4731,0.23,3
node_0162,5288,0.89,1
node_0163,2317,0.15,4
node_0164,2553,0.71,1
node_0165,6847,0.41,4
node_0166,6862,0.06,4
node_0167,6431,0.90,1
node_0168,9482,0.38,1
node_0169,5813,0.30,4
node_0170,6915,0.54,2
node_0171,8049,0.22,4
node_0172,8006,0.03,3
node_0173,6674,0.72,4
node_0174,2141,0.98,1
node_0175,6505,0.59,1
node_0176,1425,0.64,2
node_0177,7614,0.18,3
node_0178,6261,0.33,4
node_0179,5405,0.34,4
node_0180,4608,0.75,4
node_0181,4183,0.83,4
node_0182,367,0.75,1
node_0183,5783,0.22,1
node_0184,709,0.75,2
node_0185,3316,0.84,2
node_0186,3958,0.13,1
node_0187,9290,0.95,4
node_0188,4248,0.77,2
node_0189,9976,0.61,1
node_0190,2733,0.96,1
node_0191,9531,0.03,3
node_0192,9483,0.68,4
node_0193,6548,0.94,2
node_0194,1295,0.59,2
node_0195,1719,0.70,3
node_0196,9887,0.81,1
node_0197,5738,0.53,3
node_0198,1179,0.51,3
node_0199,257,0.85,4
node_0200,1779,0.43,3
node_0201,7582,0.71,4
node_0202,2935,0.73,3
node_0203,8867,0.77,4
node_0204,7186,0.83,3
node_0205,5330,0.85,1
node_0206,4619,0.88,2
node_0207,7663,0.57,4
node_0208,5561,0.03,3
node_0209,3029,0.49,3
node_0210,4282,0.34,3
node_0211,9156,0.01,2
node_0212,1452,0.24,4
node_0213,8054,0.56,2
node_0214,7850,0.65,4
node_0215,7392,0.79,1
node_0216,4870,0.22,2
node_0217,5066,0.66,3
node_0218,7803,0.55,3
node_0219,7021,1.00,3
node_0220,5814,0.70,3
node_0221,5073,0.25,1
node_0222,3205,0.32,2
node_0223,3188,0.22,4
node_0224,4580,0.72,3
node_0225,1697,0.83,3
node_0226,3777,0.36,3
node_0227,281,0.71,2
node_0228,4544,0.05,1
node_0229,9116,0.29,2
node_0230,8092,0.10,1
node_0231,9455,0.28,4
node_0232,7266,0.34,1
node_0233,4186,0.94,4
node_0234,1919,0.82,4
node_0235,8106,0.07,1
node_0236,2535,0.15,3
node_0237,1445,0.99,1
node_0238,9193,0.76,2
node_0239,8611,0.38,4
node_0240,4921,0.86,4
node_0241,5053,0.57,1
node_0242,1675,0.95,2
node_0243,3507,0.26,1
node_0244,2623,0.24,1
node_0245,2614,0.00,4
node_0246,9779,0.47,1
node_0247,3842,0.29,3
node_0248,7488,0.07,2
node_0249,4384,0.79,2
node_0250,7015,0.11,2
node_0251,2491,0.91,2
node_0252,1219,0.06,3
node_0253,9799,0.75,3
node_0254,7245,0.12,3
node_0255,6644,0.94,4
node_0256,7222,0.08,1
node_0257,7128,0.73,3
node_0258,473,0.09,1
node_0259,4465,0.58,2
node_0260,7758,0.52,4
node_0261,4607,0.18,4
node_0262,8106,0.97,4
node_0263,5750,0.41,3
node_0264,1763,0.86,3
node_0265,6794,0.69,3
node_0266,6611,0.81,1
node_0267,7501,0.09,3
node_0268,5346,0.12,4
