Election_ID,Round,Block_id,scheduled_producer,actual_producer,n_tx,T_fees,subsidy,total_reward,self_keep,dist_to_voters,event,slashed,solidified,n_ignored
1,1,block_0001,node_0240,node_0240,419,419,128,547,206.11,340.89,normal,0.0,yes,0
1,1,block_0002,node_0239,node_0239,493,493,128,621,302.53,318.47,normal,0.0,yes,0
1,1,block_0003,node_0097,node_0097,477,477,128,605,326.86,278.14,normal,0.0,yes,0
1,1,block_0004,node_0374,node_0374,400,400,128,528,234.84,293.16,normal,0.0,yes,1
1,1,block_0005,node_0115,node_0115,648,648,128,776,361.02,414.98,normal,0.0,yes,2
1,1,block_0006,node_0067,node_0067,567,567,128,695,307.98,387.02,normal,0.0,yes,1
1,1,block_0007,node_0211,node_0211,573,573,128,701,327.54,373.46,normal,0.0,yes,2
1,1,block_0008,node_0192,node_0192,649,649,128,777,408.36,368.64,normal,0.0,yes,1
1,1,block_0009,node_0148,node_0148,649,649,128,777,341.82,435.18,normal,0.0,yes,1
1,1,block_0010,node_0441,node_0441,650,650,128,778,273.15,504.85,normal,0.0,yes,0
1,1,block_0011,node_0442,node_0442,533,533,128,661,301.76,359.24,normal,0.0,yes,1
1,1,block_0012,node_0361,node_0361,648,648,128,776,197.86,578.14,normal,0.0,yes,2
1,1,block_0013,node_0248,node_0248,649,649,128,777,434.63,342.37,normal,0.0,yes,1
1,1,block_0014,node_0371,node_0371,458,458,128,586,289.22,296.78,normal,0.0,yes,2
1,1,block_0015,node_0205,node_0205,649,649,128,777,300.13,476.87,normal,0.0,yes,1
1,1,block_0016,node_0071,node_0071,650,650,128,778,197.11,580.89,normal,0.0,yes,0
1,1,block_0017,node_0315,node_0315,649,649,128,777,405.35,371.65,normal,0.0,yes,1
1,1,block_0018,node_0009,node_0009,497,497,128,625,252.69,372.31,normal,0.0,yes,1
1,1,block_0019,node_0039,node_0039,650,650,128,778,218.93,559.07,normal,0.0,yes,0
1,1,block_0020,node_0326,node_0326,525,525,128,653,225.41,427.59,normal,0.0,yes,3
1,1,block_0021,node_0498,node_0498,649,649,128,777,208.97,568.03,normal,0.0,yes,1
1,1,block_0022,node_0133,node_0133,415,415,128,543,202.98,340.02,normal,0.0,yes,2
1,1,block_0023,node_0156,node_0156,556,556,128,684,380.94,303.06,normal,0.0,yes,0
1,1,block_0024,node_0460,node_0460,650,650,128,778,317.2,460.8,normal,0.0,yes,0
1,1,block_0025,node_0426,node_0426,509,509,128,637,326.91,310.09,normal,0.0,yes,0
1,1,block_0026,node_0100,node_0100,645,645,128,773,435.4,337.6,normal,0.0,yes,2
1,1,block_0027,node_0333,node_0333,643,643,128,771,399.63,371.37,normal,0.0,yes,0
1,1,block_0028,node_0026,node_0138,574,574,128,702,408.92,293.08,missed,0.0,yes,0
