Election_ID,Block_id,node,type,slashing_pct,cooldown_rounds,promoted_backup
1,block_0028,node_0026,PDDPoS,0,0,node_0051
1,block_0064,node_0460,PDDPoS,0,0,node_0424
1,block_0113,node_0494,PDDPoS,10,5,node_0230
1,block_0141,node_0498,PDDPoS,10,5,node_0334
1,block_0144,node_0424,PDDPoS,0,0,node_0034
1,block_0155,node_0461,PDDPoS,10,5,node_0465
1,block_0179,node_0039,PDDPoS,0,0,node_0270
1,block_0202,node_0239,PDDPoS,10,5,node_0044
1,block_0216,node_0071,PDDPoS,10,5,node_0351
1,block_0255,node_0205,PDDPoS,0,0,node_0253
1,block_0259,node_0270,PDDPoS,10,5,node_0077
1,block_0285,node_0115,PDDPoS,10,5,node_0049
1,block_0297,node_0315,PDDPoS,0,0,node_0295
1,block_0311,node_0241,PDDPoS,10,5,node_0484
1,block_0326,node_0067,PDDPoS,0,0,node_0157
1,block_0339,node_0077,PDDPoS,10,5,node_0480
1,block_0375,node_0253,PDDPoS,10,5,node_0313
1,block_0394,node_0447,PDDPoS,0,0,node_0020
2,block_0412,node_0014,PDDPoS,10,5,node_0137
2,block_0425,node_0290,PDDPoS,0,0,node_0092
2,block_0430,node_0244,PDDPoS,0,0,node_0299
2,block_0514,node_0084,PDDPoS,0,0,node_0388
2,block_0535,node_0067,PDDPoS,0,0,node_0032
2,block_0546,node_0179,PDDPoS,10,5,node_0262
2,block_0553,node_0270,PDDPoS,0,0,node_0347
2,block_0554,node_0388,PDDPoS,10,5,node_0217
2,block_0565,node_0488,PDDPoS,0,0,node_0087
2,block_0573,node_0254,PDDPoS,10,5,node_0311
2,block_0656,node_0213,PDDPoS,0,0,node_0404
2,block_0678,node_0365,PDDPoS,0,0,node_0443
2,block_0701,node_0484,PDDPoS,10,5,node_0398
2,block_0703,node_0444,PDDPoS,10,5,node_0239
2,block_0722,node_0416,PDDPoS,10,5,node_0066
2,block_0723,node_0019,PDDPoS,10,5,node_0480
2,block_0742,node_0375,PDDPoS,0,0,node_0050
2,block_0765,node_0087,PDDPoS,10,5,node_0044
2,block_0785,node_0092,PDDPoS,0,0,node_0006
3,block_0811,node_0072,PDDPoS,10,5,node_0121
3,block_0822,node_0472,PDDPoS,10,5,node_0107
3,block_0827,node_0350,PDDPoS,0,0,node_0174
3,block_0833,node_0170,PDDPoS,0,0,node_0486
3,block_0835,node_0282,PDDPoS,10,5,node_0259
3,block_0867,node_0174,PDDPoS,0,0,node_0440
3,block_0881,node_0387,PDDPoS,10,5,node_0028
3,block_0897,node_0330,PDDPoS,10,5,node_0321
1,block_0028,node_0100,DPoS,0,0,node_0051
1,block_0064,node_0460,DPoS,0,0,node_0424
1,block_0113,node_0494,DPoS,10,5,node_0230
1,block_0141,node_0315,DPoS,10,5,node_0334
1,block_0144,node_0424,DPoS,0,0,node_0034
1,block_0155,node_0461,DPoS,10,5,node_0465
1,block_0179,node_0248,DPoS,0,0,node_0270
1,block_0202,node_0239,DPoS,10,5,node_0044
1,block_0216,node_0361,DPoS,10,5,node_0351
1,block_0255,node_0498,DPoS,0,0,node_0253
1,block_0259,node_0270,DPoS,10,5,node_0077
1,block_0285,node_0115,DPoS,10,5,node_0049
1,block_0297,node_0148,DPoS,0,0,node_0295
1,block_0311,node_0241,DPoS,10,5,node_0484
1,block_0326,node_0097,DPoS,0,0,node_0157
1,block_0339,node_0077,DPoS,10,5,node_0480
1,block_0375,node_0253,DPoS,10,5,node_0313
1,block_0394,node_0447,DPoS,0,0,node_0020
2,block_0412,node_0444,DPoS,10,5,node_0137
2,block_0425,node_0254,DPoS,0,0,node_0262
2,block_0430,node_0484,DPoS,0,0,node_0299
2,block_0514,node_0084,DPoS,0,0,node_0388
2,block_0535,node_0488,DPoS,0,0,node_0032
2,block_0546,node_0282,DPoS,10,5,node_0347
2,block_0553,node_0168,DPoS,0,0,node_0092
2,block_0554,node_0388,DPoS,10,5,node_0398
2,block_0565,node_0456,DPoS,0,0,node_0066
2,block_0573,node_0489,DPoS,10,5,node_0404
2,block_0656,node_0416,DPoS,0,0,node_0443
2,block_0678,node_0333,DPoS,0,0,node_0311
2,block_0701,node_0461,DPoS,10,5,node_0087
2,block_0703,node_0067,DPoS,10,5,node_0050
2,block_0722,node_0295,DPoS,10,5,node_0093
2,block_0723,node_0335,DPoS,10,5,node_0193
2,block_0742,node_0307,DPoS,0,0,node_0217
2,block_0765,node_0066,DPoS,10,5,node_0239
2,block_0785,node_0262,DPoS,0,0,node_0044
3,block_0811,node_0154,DPoS,10,5,node_0121
3,block_0822,node_0384,DPoS,10,5,node_0484
3,block_0827,node_0476,DPoS,0,0,node_0123
3,block_0833,node_0472,DPoS,0,0,node_0175
3,block_0835,node_0274,DPoS,10,5,node_0028
3,block_0867,node_0123,DPoS,0,0,node_0138
3,block_0881,node_0032,DPoS,10,5,node_0440
3,block_0897,node_0238,DPoS,10,5,node_0443
