account_id,initial_stake,final_stake,status,blocks_produced,total_rewards,total_slashed,times_downgraded
node_0001,1874.0,1070.55,CBP,0,417.55,0.0,0
node_0002,4062.0,3655.24,voter,0,447.24,0.0,0
node_0003,8985.0,11585.37,voter,0,653.37,0.0,0
node_0004,570.0,1.0,CBP,0,0.0,0.0,0
node_0005,3861.0,3766.0,voter,0,0.0,0.0,0
node_0006,9245.0,6282.89,voter,0,315.89,0.0,0
node_0007,3661.0,4384.13,voter,0,813.13,0.0,0
node_0008,156.0,882.98,voter,0,15.98,0.0,0
node_0009,6974.0,10876.88,voter,12,5257.88,0.0,0
node_0010,3577.0,3816.44,voter,0,177.44,0.0,0
node_0011,1724.0,149.8,voter,0,0.8,0.0,0
node_0012,5931.0,5945.63,voter,0,943.63,0.0,0
node_0013,761.0,1619.0,CBP,0,0.0,0.0,0
node_0014,6251.0,9001.54,CBP,10,3153.54,0.0,0
node_0015,5975.0,5154.06,voter,0,98.06,0.0,0
node_0016,800.0,266.0,voter,0,0.0,0.0,0
node_0017,1357.0,989.0,CBP,0,0.0,0.0,0
node_0018,6277.0,6398.18,voter,0,2859.18,0.0,0
node_0019,2714.0,3507.09,voter,10,1826.09,0.0,0
node_0020,4424.0,6988.02,CBP,0,787.02,0.0,0
node_0021,2853.0,1202.0,voter,0,0.0,0.0,0
node_0022,2727.0,69.0,voter,0,0.0,0.0,0
node_0023,9175.0,11917.99,voter,0,4386.99,0.0,0
node_0024,966.0,402.64,voter,0,104.64,0.0,0
node_0025,5218.0,3717.0,CBP,0,0.0,0.0,0
node_0026,3506.0,4873.65,voter,10,2314.65,0.0,0
node_0027,3533.0,2269.15,voter,0,951.15,0.0,0
node_0028,7567.0,9186.12,CBP,1,2382.12,0.0,0
node_0029,4090.0,3896.95,voter,0,542.95,0.0,0
node_0030,9627.0,14333.89,BP,2,3104.89,0.0,0
node_0031,5980.0,4359.23,BP,3,1352.23,0.0,0
node_0032,8398.0,9801.08,BP,9,4802.2,1116.12,1
node_0033,1846.0,1691.98,CBP,0,2.98,0.0,0
node_0034,6966.0,8616.28,CBP,6,1857.28,0.0,0
node_0035,6302.0,3998.0,voter,0,0.0,0.0,0
node_0036,8719.0,9500.49,BP,3,951.49,0.0,0
node_0037,1926.0,1035.01,voter,0,51.01,0.0,0
node_0038,5623.0,6596.32,voter,0,1021.32,0.0,0
node_0039,2641.0,7708.17,voter,11,3404.17,0.0,0
node_0040,8251.0,7644.0,voter,0,0.0,0.0,0
node_0041,4939.0,2479.13,voter,0,722.13,0.0,0
node_0042,2554.0,239.0,voter,0,0.0,0.0,0
node_0043,8887.0,7280.03,voter,0,1735.03,0.0,0
node_0044,9863.0,11743.95,BP,7,3095.95,0.0,0
node_0045,1882.0,1416.67,voter,0,533.67,0.0,0
node_0046,3973.0,2686.0,voter,0,0.0,0.0,0
node_0047,1453.0,463.24,voter,0,245.24,0.0,0
node_0048,8777.0,8613.55,CBP,0,240.55,0.0,0
node_0049,7837.0,12335.97,voter,2,3395.97,0.0,0
node_0050,4392.0,7544.93,voter,3,1015.93,0.0,0
node_0051,3520.0,4144.48,voter,9,2728.48,0.0,0
node_0052,5157.0,4627.0,CBP,0,0.0,0.0,0
node_0053,7227.0,6319.72,voter,0,313.72,0.0,0
node_0054,2032.0,1260.55,voter,0,294.55,0.0,0
node_0055,5589.0,2330.52,voter,0,1682.52,0.0,0
node_0056,9691.0,11689.98,voter,0,2033.98,0.0,0
node_0057,1014.0,320.0,voter,0,0.0,0.0,0
node_0058,5463.0,4866.83,voter,0,445.83,0.0,0
node_0059,4612.0,4340.0,voter,0,0.0,0.0,0
node_0060,8884.0,9493.07,voter,0,645.07,0.0,0
node_0061,4031.0,3107.0,voter,0,0.0,0.0,0
node_0062,3169.0,1998.9,voter,0,157.9,0.0,0
node_0063,5854.0,4695.39,voter,0,1119.39,0.0,0
node_0064,937.0,394.05,voter,0,162.05,0.0,0
node_0065,1043.0,649.64,voter,0,59.64,0.0,0
node_0066,1840.0,352.91,voter,5,799.34,137.43,1
node_0067,8836.0,10261.58,voter,18,5863.43,1207.84,1
node_0068,3056.0,1606.0,voter,0,0.0,0.0,0
node_0069,1285.0,265.0,voter,0,0.0,0.0,0
node_0070,878.0,1051.22,voter,0,103.22,0.0,0
node_0071,1578.0,362.59,voter,10,1711.59,0.0,0
node_0072,2774.0,1012.23,BP,3,480.23,0.0,0
node_0073,3552.0,3957.84,voter,0,121.84,0.0,0
node_0074,2747.0,3392.65,voter,0,458.65,0.0,0
node_0075,4395.0,4236.0,voter,0,0.0,0.0,0
node_0076,4723.0,4293.8,voter,0,599.8,0.0,0
node_0077,2586.0,1454.12,CBP,2,450.47,324.35,1
node_0078,1008.0,14.0,voter,0,0.0,0.0,0
node_0079,5188.0,3929.07,voter,0,1645.07,0.0,0
node_0080,8288.0,11842.72,voter,11,4532.72,0.0,0
node_0081,981.0,258.0,CBP,0,0.0,0.0,0
node_0082,3094.0,1702.96,voter,0,747.96,0.0,0
node_0083,3903.0,2235.0,voter,0,0.0,0.0,0
node_0084,9535.0,10209.29,voter,2,3564.29,0.0,1
node_0085,6918.0,6485.11,voter,0,2192.11,0.0,0
node_0086,4322.0,1336.68,CBP,0,431.68,0.0,0
node_0087,3960.0,4111.13,voter,2,512.13,0.0,0
node_0088,4965.0,5012.83,voter,0,548.83,0.0,0
