Reward_dist_id,Block_id,type,account_id,self.stake,pd_reward_stake,closing_stake,remarks
1,block_0001,PDDPoS,node_0265,6783.0,86.78,6869.78,voter pd share
2,block_0001,PDDPoS,node_0177,7614.0,100.25,7714.25,voter pd share
3,block_0001,PDDPoS,node_0287,9708.0,153.86,9861.86,voter pd share
4,block_0001,PDDPoS,node_0240,4897.0,206.11,5103.11,self 20% + leftover
5,block_0002,PDDPoS,node_0231,9483.0,101.82,9584.82,voter pd share
6,block_0002,PDDPoS,node_0362,935.0,10.73,945.73,voter pd share
7,block_0002,PDDPoS,node_0457,9824.0,205.92,10029.92,voter pd share
8,block_0002,PDDPoS,node_0239,8544.0,302.53,8846.53,self 20% + leftover
9,block_0003,PDDPoS,node_0418,80.0,2.09,82.09,voter pd share
10,block_0003,PDDPoS,node_0405,9296.0,134.84,9430.84,voter pd share
11,block_0003,PDDPoS,node_0238,9196.0,141.2,9337.2,voter pd share
12,block_0003,PDDPoS,node_0097,9110.0,326.86,9436.86,self 20% + leftover
13,block_0004,PDDPoS,node_0098,9992.0,104.91,10096.91,voter pd share
14,block_0004,PDDPoS,node_0111,9329.0,188.24,9517.24,voter pd share
15,block_0004,PDDPoS,node_0374,7843.0,234.84,8077.84,self 20% + leftover
16,block_0005,PDDPoS,node_0167,6333.0,109.09,6442.09,voter pd share
17,block_0005,PDDPoS,node_0456,6398.0,127.89,6525.89,voter pd share
18,block_0005,PDDPoS,node_0401,7089.0,178.0,7267.0,voter pd share
19,block_0005,PDDPoS,node_0115,6949.0,361.02,7310.02,self 20% + leftover
20,block_0006,PDDPoS,node_0452,1327.0,16.42,1343.42,voter pd share
21,block_0006,PDDPoS,node_0218,7750.0,132.81,7882.81,voter pd share
22,block_0006,PDDPoS,node_0375,8610.0,237.78,8847.78,voter pd share
23,block_0006,PDDPoS,node_0067,8885.0,307.98,9192.98,self 20% + leftover
24,block_0007,PDDPoS,node_0187,9385.0,182.48,9567.48,voter pd share
25,block_0007,PDDPoS,node_0439,7431.0,190.98,7621.98,voter pd share
26,block_0007,PDDPoS,node_0211,9365.0,327.54,9692.54,self 20% + leftover
27,block_0008,PDDPoS,node_0301,1387.0,25.49,1412.49,voter pd share
28,block_0008,PDDPoS,node_0203,8895.0,177.39,9072.39,voter pd share
29,block_0008,PDDPoS,node_0149,6478.0,165.76,6643.76,voter pd share
30,block_0008,PDDPoS,node_0192,9512.0,408.36,9920.36,self 20% + leftover
31,block_0009,PDDPoS,node_0146,2450.0,48.31,2498.31,voter pd share
32,block_0009,PDDPoS,node_0106,9031.0,191.84,9222.84,voter pd share
33,block_0009,PDDPoS,node_0119,5764.0,195.03,5959.03,voter pd share
34,block_0009,PDDPoS,node_0148,7495.0,341.82,7836.82,self 20% + leftover
35,block_0010,PDDPoS,node_0428,7575.0,180.82,7755.82,voter pd share
36,block_0010,PDDPoS,node_0163,2183.0,59.9,2242.9,voter pd share
37,block_0010,PDDPoS,node_0140,9194.0,264.13,9458.13,voter pd share
38,block_0010,PDDPoS,node_0441,5215.0,273.15,5488.15,self 20% + leftover
39,block_0011,PDDPoS,node_0180,4954.0,62.65,5016.65,voter pd share
40,block_0011,PDDPoS,node_0147,7772.0,188.98,7960.98,voter pd share
41,block_0011,PDDPoS,node_0116,4470.0,107.61,4577.61,voter pd share
42,block_0011,PDDPoS,node_0442,7575.0,301.76,7876.76,self 20% + leftover
43,block_0012,PDDPoS,node_0030,9794.0,214.5,10008.5,voter pd share
44,block_0012,PDDPoS,node_0014,6191.0,146.16,6337.16,voter pd share
45,block_0012,PDDPoS,node_0255,6406.0,217.48,6623.48,voter pd share
46,block_0012,PDDPoS,node_0361,1577.0,197.86,1774.86,self 20% + leftover
47,block_0013,PDDPoS,node_0472,10065.0,201.71,10266.71,voter pd share
48,block_0013,PDDPoS,node_0354,6673.0,140.66,6813.66,voter pd share
49,block_0013,PDDPoS,node_0248,7482.0,434.63,7916.63,self 20% + leftover
50,block_0014,PDDPoS,node_0356,7439.0,120.66,7559.66,voter pd share
51,block_0014,PDDPoS,node_0165,6764.0,176.12,6940.12,voter pd share
52,block_0014,PDDPoS,node_0371,9767.0,289.22,10056.22,self 20% + leftover
53,block_0015,PDDPoS,node_0422,8480.0,216.83,8696.83,voter pd share
54,block_0015,PDDPoS,node_0168,9524.0,260.04,9784.04,voter pd share
55,block_0015,PDDPoS,node_0205,5392.0,300.13,5692.13,self 20% + leftover
56,block_0016,PDDPoS,node_0122,4370.0,109.45,4479.45,voter pd share
57,block_0016,PDDPoS,node_0043,8921.0,233.79,9154.79,voter pd share
58,block_0016,PDDPoS,node_0080,8104.0,237.65,8341.65,voter pd share
59,block_0016,PDDPoS,node_0071,1342.0,197.11,1539.11,self 20% + leftover
60,block_0017,PDDPoS,node_0197,5700.0,124.9,5824.9,voter pd share
61,block_0017,PDDPoS,node_0189,10180.0,246.75,10426.75,voter pd share
62,block_0017,PDDPoS,node_0315,7298.0,405.35,7703.35,self 20% + leftover
63,block_0018,PDDPoS,node_0280,8253.0,198.1,8451.1,voter pd share
64,block_0018,PDDPoS,node_0307,7404.0,174.21,7578.21,voter pd share
65,block_0018,PDDPoS,node_0009,6943.0,252.69,7195.69,self 20% + leftover
66,block_0019,PDDPoS,node_0331,1084.0,19.76,1103.76,voter pd share
67,block_0019,PDDPoS,node_0023,9150.0,246.4,9396.4,voter pd share
68,block_0019,PDDPoS,node_0229,8914.0,292.91,9206.91,voter pd share
69,block_0019,PDDPoS,node_0039,2802.0,218.93,3020.93,self 20% + leftover
70,block_0020,PDDPoS,node_0462,2173.0,35.95,2208.95,voter pd share
71,block_0020,PDDPoS,node_0449,7642.0,171.23,7813.23,voter pd share
72,block_0020,PDDPoS,node_0358,9106.0,220.41,9326.41,voter pd share
73,block_0020,PDDPoS,node_0326,3662.0,225.41,3887.41,self 20% + leftover
74,block_0021,PDDPoS,node_0193,6608.0,110.6,6718.6,voter pd share
75,block_0021,PDDPoS,node_0398,2551.0,73.27,2624.27,voter pd share
76,block_0021,PDDPoS,node_0290,7858.0,251.56,8109.56,voter pd share
77,block_0021,PDDPoS,node_0346,3686.0,132.6,3818.6,voter pd share
78,block_0021,PDDPoS,node_0498,1661.0,208.97,1869.97,self 20% + leftover
79,block_0022,PDDPoS,node_0350,1384.0,27.46,1411.46,voter pd share
80,block_0022,PDDPoS,node_0250,7038.0,124.94,7162.94,voter pd share
81,block_0022,PDDPoS,node_0129,6598.0,144.51,6742.51,voter pd share
82,block_0022,PDDPoS,node_0321,2123.0,43.11,2166.11,voter pd share
83,block_0022,PDDPoS,node_0133,4995.0,202.98,5197.98,self 20% + leftover
84,block_0023,PDDPoS,node_0032,8364.0,146.03,8510.03,voter pd share
85,block_0023,PDDPoS,node_0137,6165.0,157.03,6322.03,voter pd share
86,block_0023,PDDPoS,node_0156,7357.0,380.94,7737.94,self 20% + leftover
87,block_0024,PDDPoS,node_0235,7892.0,192.54,8084.54,voter pd share
88,block_0024,PDDPoS,node_0281,8301.0,268.26,8569.26,voter pd share
89,block_0024,PDDPoS,node_0460,5781.0,317.2,6098.2,self 20% + leftover
90,block_0025,PDDPoS,node_0339,6452.0,117.74,6569.74,voter pd share
91,block_0025,PDDPoS,node_0413,7880.0,192.35,8072.35,voter pd share
92,block_0025,PDDPoS,node_0426,7180.0,326.91,7506.91,self 20% + leftover
93,block_0026,PDDPoS,node_0254,7361.0,151.42,7512.42,voter pd share
94,block_0026,PDDPoS,node_0220,5796.0,186.19,5982.19,voter pd share
